category,lat,lon,name,city,country,type,sector,source_type,data_collection_method,source_text,source_url,dataset_id,dataset_name,pfas_values,unit,pfas_sum,details,matrix,date,year
Known PFAS user,45.864286,5.948318,Fortier Beaulieu,Rumilly,France,Industrial site,,Authorities,OSINT,ARS Rhône-Alpes,https://www.auvergne-rhone-alpes.ars.sante.fr/pfas-focus-sur-la-situation-rumilly-haute-savoie,0,Known PFAS Users,[],,,,,,
Known PFAS user,45.838896,5.960591,Salomon,Rumilly,France,Industrial site,,Authorities,OSINT,ARS Rhône-Alpes,https://www.auvergne-rhone-alpes.ars.sante.fr/pfas-focus-sur-la-situation-rumilly-haute-savoie,0,Known PFAS Users,[],,,,,,
Known PFAS user,46.566759,4.90498,Tefal,Tournus,France,Industrial site,,Authorities,OSINT,Géorisques,https://www.georisques.gouv.fr/risques/registre-des-emissions-polluantes/etablissement/details/293#/,0,Known PFAS Users,[],,,,,,
Known PFAS user,47.98403,14.272978,Agru,Waldneukirchen,Austria,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Agru,https://www.agru.at/en/,0,Known PFAS Users,[],,,https://goo.gl/maps/cSD9QcvjzUhutfgv8 ,,,
Known PFAS user,48.032,14.225225,Agru,Bad Hall,Austria,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Agru,https://www.agru.at/en/,0,Known PFAS Users,[],,,https://goo.gl/maps/NkuHEHiEQbVAB5CJ8 ,,,
Known PFAS user,47.5944,12.18521,Freudenberg,Kufstein,Austria,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Freudenberg,"https://www.fst.com/-/media/files/fst,-d-,com/certificates/iso_14001/castelli_calepio_iso_14001_2015_20231123.pdf",0,Known PFAS Users,[],,,,,,
Known PFAS user,47.469984,12.628154,Technofyon,Hochfilzen,Austria,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Technofyon,https://www.dichtungen.at/de/,0,Known PFAS Users,[],,,,,,
Known PFAS user,50.880471,4.268786,ANSUL,Dilbeek,Belgium,Industrial site,,Company,OSINT,ANSUL,https://www.ansul.be/fr/produits,0,Known PFAS Users,[],,,,,,
Known PFAS user,51.011701,4.459179,Chemours,Mechelen,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Teflon,https://www.chemours.com/en/-/media/files/corporate/multi-site-rc-14001-certificate.pdf?rev=a96af5b620024a09bfb2c69c81b0a835 ,0,Known PFAS Users,[],,,https://goo.gl/maps/MNW1NRmUCFdqx6CY8,,,
Known PFAS user,50.952076,4.244628,MCM,Merchtem,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,MCM,http://mcm-spa.it/en/products/productlist/ ,0,Known PFAS Users,[],,,,,,
Known PFAS user,51.036906,4.359788,Orchidee,Willebroek,Belgium,Industrial site,,Company,OSINT,Orchidee,https://orchidee-fire.com/products-solutions/?_sft_product_cat=foams,0,Known PFAS Users,[],,,,,,
Known PFAS user,50.787406,5.527537,Shamrock Technologies,Tongeren,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Shamrock,https://web.archive.org/web/20221215221147/https://shamrock-technologies.inhroffice.com/nl/job/239230,0,Known PFAS Users,[],,,,,,
Known PFAS user,51.098489,3.688144,Synthomer,Evergem,Belgium,Industrial site,,Company,OSINT,Synthomer Evergem,https://www.synthomer.com/media/zj4fsxu5/certificatede012296_iso14001_synthomer-a8b12ed26138412db87603b87c3d087e.pdf,0,Known PFAS Users,[],,,,,,
Known PFAS user,50.412454,4.014267,UNITEQ,Harmignies,Belgium,Industrial site,,Company,OSINT,UNITEQ,https://uniteq.biz/products/water-additives/,0,Known PFAS Users,[],,,,,,
Known PFAS user,51.078627,4.140121,Vaneflon,Hamme,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Vaneflon,https://www.vaneflon.be/en/ ,0,Known PFAS Users,[],,,https://goo.gl/maps/UJWzwDTGbTUKXFvY6 ,,,
Known PFAS user,50.905096,3.409846,Wevapress Thermoplastics,Waregem,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Wevapress Thermoplastics,https://www.wefapress.com/en/plastic-producing-company,0,Known PFAS Users,[],,,https://g.page/wefapress?share,,,
Known PFAS user,51.149487,4.538507,Xtraflex,Lier,Belgium,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Xtraflex,http://xtraflex.com/,0,Known PFAS Users,[],,,,,,
Known PFAS user,50.135407,15.77715,Freudenberg,Opatovice nad Labem,Czechia,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Freudenberg,"https://www.fst.com/-/media/files/fst,-d-,com/certificates/iso_14001/castelli_calepio_iso_14001_2015_20231123.pdf",0,Known PFAS Users,[],,,,,,
Known PFAS user,50.76385,15.054459,Huntsman,Liberec,Czechia,Industrial site,,Company,OSINT,Huntsman,https://solutions.cht.com/cht/medien.nsf/gfx/med_MJOS-BMBEB4_3972BB/$file/The-List-by-INDITEX-Edition-IV.pdf,0,Known PFAS Users,[],,,https://goo.gl/maps/ieUDLd7tnKeLs3DY9,,,
Known PFAS user,49.414849,13.318492,Serto,Klatovy,Czechia,Industrial site,,Company,OSINT,Serto,https://www.serto.com/en/products/product-range/tubes-hoses/plastic-tubes/,0,Known PFAS Users,[],,,https://goo.gl/maps/kSSx2qLogru7HzJi6,,,
Known PFAS user,49.728706,13.315763,Wacker Chemie ,Pilsen,Czechia,Industrial site,Manufacture of plastics in primary forms,Company,OSINT,Wacker Pilsen,https://www.wacker.com/cms/en-us/about-wacker/wacker-at-a-glance/production-sites/pilsen.html,0,Known PFAS Users,[],,,,,,
Known PFAS user,55.721933,12.42718,Linatex,Herlev,Denmark,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Linatex,https://linatex.dk/r-and-d/,0,Known PFAS Users,[],,,,,,
Known PFAS user,56.01674,12.193935,O.L. Seals,Helsinge,Denmark,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,O.L. Seals,http://mcm-spa.it/fr/contact/ ,0,Known PFAS Users,[],,,,,,
Known PFAS user,62.842771,21.419046,Fluorplast,Petolahti,Finland,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,Fluorplast,http://www.fluorplast.fi/en/ptfe-products,0,Known PFAS Users,[],,,https://goo.gl/maps/9r74nubXymW5ep1t8,,,
Known PFAS user,60.628841,25.268249,PRP-Plastic,Mäntsälä,Finland,Industrial site,Manufacture of rubber and plastic products,Company,OSINT,PRP-Plastic,https://www.prpplastic.fi/en/home,0,Known PFAS Users,[],,,https://goo.gl/maps/6Js6Kv8thxnXesdD9,,,
