category,lat,lon,name,city,country,type,sector,source_type,data_collection_method,source_text,source_url,dataset_id,dataset_name,pfas_values,unit,pfas_sum,details,matrix,date,year
PFAS production facility,43.235473,-3.015786,Arkema,Zaramillo,Spain,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Closed in 2014 (https://www.sicavonline.fr/index.cfm?action=m_actu&ida=528771-arkema-ferme-un-site-de-gaz-fluores-en-espagne)"",""status last checked"":""19/05/2025""}",,,
PFAS production facility,45.552799,11.387419,Miteni,Trissino,Italy,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Closed in 2018 (https://www.repubblica.it/cronaca/2018/10/26/news/chiude_la_miteni_la_fabbrica_che_ha_inquinato_il_veneto-210078375/)"",""status last checked"":""19/05/2025""}",,,
PFAS production facility,51.027349,6.982524,Lanxess,Leverkusen,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Production stopped in 2024 (https://www1.wdr.de/nachrichten/rheinland/lanxess-stoppt-pfas-produktion-100.html)"",""status last checked"":""19/05/2025""}",,,
PFAS production facility,50.020295,20.924575,Grupa Azoty,Tarnów,Poland,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Stopped producing PFAS (but are still using some)"",""status last checked"":""19/05/2025""}",,,
PFAS production facility,49.291133,2.507522,Chemours,Villers Saint-Paul,France,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Closed in 2025 (https://www.leparisien.fr/oise-60/fermeture-de-chemours-la-fin-dune-ere-entre-regrets-et-soulagement-la-ville-a-vecu-a-lombre-de-la-cheminee-06-08-2025-IGDRV5WX3RCTHLUI53NSNCMWJQ.php)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,44.171105,4.152092,Solvay,Salindres,France,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Closed in 2025 (https://france3-regions.franceinfo.fr/occitanie/gard/ales/pfas-comment-solvay-a-cherche-a-retarder-la-reglementation-du-tfa-qu-il-fabriquait-a-salindres-selon-les-ong-3224063.html)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,48.179018,12.724147,Dyneon,Gendorf,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""future stop announced"",""Details"":""PFAS production should stop end of 2025 (https://www.msn.com/de-de/nachrichten/welt/natur-und-umwelt-urnengr%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BDber-mit-giftbeigabe/ar-AA1vLOAt)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,51.816086,4.727333,Chemours,Dordrecht,Netherlands,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Apparently still producing, but not a lot of mentions in the news"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,48.178519,12.721714,Archroma,Gendorf,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Apparently still producing, but not a lot of mentions in the news"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,53.775587,-2.797009,F2 Chemicals,Preston,United Kingdom,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Apparently still producing, but not a lot of mentions in the news"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,53.314531,-2.718751,Koura,Runcorn,United Kingdom,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Apparently still producing, but not a lot of mentions in the news"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,50.095532,8.53974,Daikin Refrigerants,Frankfurt am Main,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Apparently still producing, but not a lot of mentions in the news"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,51.234273,4.334542,3M,Zwijndrecht,Belgium,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""stopped"",""Details"":""Stopped PFAS polution end of 2024 (https://www.vlaanderen.be/pfas-vervuiling/pfas-aanpak-regio-zwijndrecht)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,44.883784,8.668563,Solvay,Spinetta-Marengo,Italy,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Still producing (https://www.greenreport.it/news/inquinamenti-e-disinquinamenti/1950-lex-solvay-ha-ripreso-la-produzione-di-pfas-a-spinetta-marengo)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,49.229924,9.172846,Solvay,Bad Wimpfen,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""future stop announced"",""Details"":""Annonced stop for 2026 (https://www.bund-bawue.de/service/pressemitteilungen/detail/news/erfolg-fuer-bund-einsatz-solvay-kuendigt-produktionsstopp-fuer-tfa-in-bad-wimpfen-an/)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,45.710831,4.824097,Daikin,Pierre-Bénite,France,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Still producing (https://www.lemonde.fr/planete/article/2024/10/15/pfas-le-site-daikin-de-pierre-benite-autorise-a-lancer-la-fabrication-d-un-nouveau-produit-perfluore_6352378_3244.html)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,48.178934,12.721952,W. L. Gore,Gendorf,Germany,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Still producing (https://www.pnp.de/lokales/landkreis-altoetting/dyneon-aus-chemieparknachbar-gore-ist-vorbereitet-17427842)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,47.056373,5.413534,Solvay,Tavaux,France,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""PFAS produced"":""PVDF"",""Status"":""producing"",""Details"":""Still producing (https://www.syensqo.com/fr/innovation/pfas)"",""status last checked"":""07/11/2025""}",,,
PFAS production facility,45.708018,4.825798,Arkema,Pierre-Bénite,France,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""PFAS produced"":""PVDF"",""Status"":""producing"",""Details"":""Still producing, since 2025 without using PFAS surfactants. "",""status last checked"":""07/11/2025""}",,,
PFAS production facility,53.879144,-2.999966,Asahi Glass Company (AGC),Thornton-Cleveleys,United Kingdom,PFAS production facility,,OSINT,OSINT,Manual compilation during the FPP project,,13,PFAS Producers,[],,,"{""Status"":""producing"",""Details"":""Still producing. They stopped the use of PFOA in 2012, but continue producting other PFAS. (https://pfasproject.com/2023/05/01/firm-releases-almost-800kg-of-forever-chemical-a-year-into-lancashire-river/)"",""status last checked"":""07/11/2025""}",,,
